id,ts_unix_ms,x_m,y_m,theta_rad,connected,ssid,bssid,rssi_dbm,freq_mhz,roam_event,disconnect_event,disconnect_streak_s,ping_loss_pct,ping_avg_ms
193,1767920922115,0.0,0.0,0.0,1,Lexxpluss-Biz,a8:29:48:c8:8f:61,-42,5240,0,0,0.0,,
194,1767920922620,0.0,0.0,0.0,1,Lexxpluss-Biz,a8:29:48:c8:8f:61,-42,5240,0,0,0.0,,
195,1767920923125,0.0,0.0,0.0,1,Lexxpluss-Biz,a8:29:48:c8:8f:61,-43,5240,0,0,0.0,,
196,1767920923629,0.0,0.0,0.0,1,Lexxpluss-Biz,a8:29:48:c8:8f:61,-40,5240,0,0,0.0,,
197,1767920924133,0.0,0.0,0.0,1,Lexxpluss-Biz,a8:29:48:c8:8f:61,-40,5240,0,0,0.0,,
198,1767920924637,0.0,0.0,0.0,1,Lexxpluss-Biz,a8:29:48:c8:8f:61,-41,5240,0,0,0.0,,
199,1767920925141,0.0,0.0,0.0,1,Lexxpluss-Biz,a8:29:48:c8:8f:61,-41,5240,0,0,0.0,,
200,1767920925645,0.0,0.0,0.0,1,Lexxpluss-Biz,a8:29:48:c8:8f:61,-41,5240,0,0,0.0,,
201,1767920926165,0.0,0.0,0.0,1,Lexxpluss-Biz,a8:29:48:c8:8f:61,-41,5240,0,0,0.0,,
202,1767920926669,0.0,0.0,0.0,1,Lexxpluss-Biz,a8:29:48:c8:8f:61,-37,5240,0,0,0.0,,
203,1767920927173,0.0,0.0,0.0,1,Lexxpluss-Biz,a8:29:48:c8:8f:61,-37,5240,0,0,0.0,,
204,1767920927678,0.0,0.0,0.0,1,Lexxpluss-Biz,a8:29:48:c8:8f:61,-40,5240,0,0,0.0,,
205,1767920928183,0.0,0.0,0.0,1,Lexxpluss-Biz,a8:29:48:c8:8f:61,-39,5240,0,0,0.0,,
206,1767920928688,0.0,0.0,0.0,1,Lexxpluss-Biz,a8:29:48:c8:8f:61,-38,5240,0,0,0.0,,
207,1767920929193,0.0,0.0,0.0,1,Lexxpluss-Biz,a8:29:48:c8:8f:61,-39,5240,0,0,0.0,,
208,1767920929698,0.0,0.0,0.0,1,Lexxpluss-Biz,a8:29:48:c8:8f:61,-39,5240,0,0,0.0,,
209,1767920930203,0.0,0.0,0.0,1,Lexxpluss-Biz,a8:29:48:c8:8f:61,-38,5240,0,0,0.0,,
